readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,error_rate,second_moment_mmd,25,exhaustive,455,sketch,0.0013427734375
logistic,error_rate,second_moment_mmd,25,random,25,clipart,-0.025473022460937488
logistic,error_rate,second_moment_mmd,25,random,25,infograph,-0.001422119140625011
logistic,error_rate,second_moment_mmd,25,random,25,painting,-0.032550048828125004
logistic,error_rate,second_moment_mmd,25,random,25,quickdraw,-0.007138061523437489
logistic,error_rate,second_moment_mmd,25,random,25,real,-0.035412597656249996
logistic,error_rate,second_moment_mmd,25,random,25,sketch,-0.013317871093750003
logistic,error_rate,second_moment_mmd,25,random,227,clipart,0.0035156250000000014
logistic,error_rate,second_moment_mmd,25,random,227,infograph,0.010342407226562503
logistic,error_rate,second_moment_mmd,25,random,227,painting,-0.007711791992187508
logistic,error_rate,second_moment_mmd,25,random,227,quickdraw,-0.0038543701171875056
logistic,error_rate,second_moment_mmd,25,random,227,real,-0.010214233398437494
logistic,error_rate,second_moment_mmd,25,random,227,sketch,-0.0022247314453125028
logistic,error_rate,second_moment_mmd,50,exhaustive,455,clipart,0.00469970703125
logistic,error_rate,second_moment_mmd,50,exhaustive,455,infograph,0.006103515625
logistic,error_rate,second_moment_mmd,50,exhaustive,455,painting,-0.0020751953125
logistic,error_rate,second_moment_mmd,50,exhaustive,455,quickdraw,-0.001953125
logistic,error_rate,second_moment_mmd,50,exhaustive,455,real,0.000244140625
logistic,error_rate,second_moment_mmd,50,exhaustive,455,sketch,0.0013427734375
logistic,error_rate,second_moment_mmd,50,random,50,clipart,-0.026541137695312494
logistic,error_rate,second_moment_mmd,50,random,50,infograph,-0.0023864746093749944
logistic,error_rate,second_moment_mmd,50,random,50,painting,-0.025488281249999988
logistic,error_rate,second_moment_mmd,50,random,50,quickdraw,-0.004913330078125
logistic,error_rate,second_moment_mmd,50,random,50,real,-0.026730346679687496
logistic,error_rate,second_moment_mmd,50,random,50,sketch,-0.01214294433593751
logistic,error_rate,second_moment_mmd,50,random,227,clipart,-0.004602050781249999
logistic,error_rate,second_moment_mmd,50,random,227,infograph,0.004605102539062503
logistic,error_rate,second_moment_mmd,50,random,227,painting,-0.007711791992187508
logistic,error_rate,second_moment_mmd,50,random,227,quickdraw,-0.0025726318359375056
logistic,error_rate,second_moment_mmd,50,random,227,real,-0.009664916992187494
logistic,error_rate,second_moment_mmd,50,random,227,sketch,-0.0022247314453125028
logistic,error_rate,second_moment_mmd,100,exhaustive,455,clipart,0.0
logistic,error_rate,second_moment_mmd,100,exhaustive,455,infograph,-0.00274658203125
logistic,error_rate,second_moment_mmd,100,exhaustive,455,painting,0.0
logistic,error_rate,second_moment_mmd,100,exhaustive,455,quickdraw,-0.0047607421875
