scope,readout,metric,shortlist_size,domain_count,repeated_task_count,overlap_count_mean,union_size_mean,jaccard_mean,mmd_missed_top_q_mean,a_missed_top_q_mean,a_rescued_top_q_mean,mmd_rescued_top_q_mean,a_rescued_fractional_top_q_mean,mmd_rescued_fractional_top_q_mean,omission_reduction_from_union_mean,a_only_better_than_mmd_choice_mean,top_q_boundary_ties_mean,has_a_rescue_tasks,has_a_rescue_rate,has_mmd_rescue_tasks,has_mmd_rescue_rate,a_rescues_any_oracle_tasks,a_rescues_any_oracle_rate,mmd_rescues_any_oracle_tasks,mmd_rescues_any_oracle_rate,union_selects_a_only_tasks,union_selects_a_only_rate,union_better_than_mmd_tasks,union_better_than_mmd_rate,union_worse_than_mmd_tasks,union_worse_than_mmd_rate,union_better_than_matched_mmd_tasks,union_better_than_matched_mmd_rate,union_worse_than_matched_mmd_tasks,union_worse_than_matched_mmd_rate,a_rescue_reaches_final_improvement_tasks,a_rescue_reaches_final_improvement_rate
new_seeds,logistic,error_rate,100,6,48,76.95833333333333,123.04166666666667,0.6356781959858625,1.3333333333333333,1.75,0.3125,0.7291666666666666,0.3263888888888889,0.7201388888888888,0.0,0.22916666666666666,1.5208333333333333,13,0.2708333333333333,17,0.3541666666666667,0,0.0,1,0.020833333333333332,3,0.0625,0,0.0,3,0.0625,0,0.0,0,0.0,0,0.0
new_seeds,logistic,error_rate,227,6,48,205.47916666666666,248.52083333333334,0.8325437451769894,0.20833333333333334,0.2708333333333333,0.0625,0.125,0.0625,0.11458333333333333,0.0,0.08333333333333333,1.5208333333333333,3,0.0625,1,0.020833333333333332,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
new_seeds,logistic,nll,10,6,48,3.7708333333333335,16.229166666666668,0.28456352227637055,7.5,7.708333333333333,1.0,1.2083333333333333,1.0,1.2083333333333333,0.01157010543678171,0.6041666666666666,1.0,31,0.6458333333333334,33,0.6875,7,0.14583333333333334,8,0.16666666666666666,16,0.3333333333333333,12,0.25,4,0.08333333333333333,7,0.14583333333333334,13,0.2708333333333333,11,0.22916666666666666
new_seeds,logistic,nll,25,6,48,12.0625,37.9375,0.35159925165493994,5.354166666666667,5.25,1.8125,1.7083333333333333,1.8125,1.7083333333333333,0.005762385026922788,0.4375,1.0,36,0.75,28,0.5833333333333334,6,0.125,13,0.2708333333333333,13,0.2708333333333333,10,0.20833333333333334,3,0.0625,8,0.16666666666666666,6,0.125,10,0.20833333333333334
new_seeds,logistic,nll,50,6,48,30.9375,69.0625,0.4725101619614789,3.0208333333333335,3.4375,1.5208333333333333,1.9375,1.5208333333333333,1.9375,0.0036333027102709026,0.2916666666666667,1.0,32,0.6666666666666666,31,0.6458333333333334,6,0.125,9,0.1875,7,0.14583333333333334,7,0.14583333333333334,0,0.0,3,0.0625,3,0.0625,7,0.14583333333333334
new_seeds,logistic,nll,100,6,48,76.95833333333333,123.04166666666667,0.6356781959858625,0.8958333333333334,1.6458333333333333,0.4791666666666667,1.2291666666666667,0.4791666666666667,1.2291666666666667,0.0,0.020833333333333332,1.0,15,0.3125,24,0.5,0,0.0,8,0.16666666666666666,1,0.020833333333333332,1,0.020833333333333332,0,0.0,0,0.0,0,0.0,1,0.020833333333333332
new_seeds,logistic,nll,227,6,48,205.47916666666666,248.52083333333334,0.8325437451769894,0.020833333333333332,0.14583333333333334,0.020833333333333332,0.14583333333333334,0.020833333333333332,0.14583333333333334,0.0,0.0,1.0,1,0.020833333333333332,6,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
new_seeds,ridge,brier_score,10,6,48,3.7708333333333335,16.229166666666668,0.28456352227637055,6.9375,7.770833333333333,0.7916666666666666,1.625,0.7916666666666666,1.625,1.0241279254981361e-05,0.2916666666666667,1.0,20,0.4166666666666667,38,0.7916666666666666,2,0.041666666666666664,15,0.3125,7,0.14583333333333334,7,0.14583333333333334,0,0.0,6,0.125,12,0.25,7,0.14583333333333334
new_seeds,ridge,brier_score,25,6,48,12.0625,37.9375,0.35159925165493994,4.791666666666667,5.604166666666667,1.625,2.4375,1.625,2.4375,5.542393331674685e-06,0.3333333333333333,1.0,33,0.6875,35,0.7291666666666666,7,0.14583333333333334,16,0.3333333333333333,7,0.14583333333333334,6,0.125,1,0.020833333333333332,6,0.125,3,0.0625,6,0.125
new_seeds,ridge,brier_score,50,6,48,30.9375,69.0625,0.4725101619614789,2.3125,3.7291666666666665,1.125,2.5416666666666665,1.125,2.5416666666666665,9.087815253198498e-07,0.20833333333333334,1.0,24,0.5,30,0.625,3,0.0625,14,0.2916666666666667,5,0.10416666666666667,5,0.10416666666666667,0,0.0,4,0.08333333333333333,0,0.0,5,0.10416666666666667
