encoder,target_domain,readout,method,shortlist_size,repeat_count,score_seconds,resident_seconds,median_resident_seconds,test_brier_score,test_nll,test_error_rate,feature_seconds,source_blocks_charged,raw_additive_seconds,resident_vs_full_seconds,raw_vs_full_seconds,paired_test_brier_score,paired_test_nll,paired_test_error_rate
dinov2_b14,painting,ridge,random,100,3,0.0005031997958819071,0.3299218143026034,0.3308406099677086,0.9845139048292539,4.383264501830056,0.4383138020833333,43.30909287184477,15.0,43.63901468614737,-1.1392223685979843,-1.1392223685979843,9.021295986533229e-05,0.006074228759982425,0.018391927083333315
dinov2_b14,painting,ridge,random,227,3,0.0005031997958819071,0.7276521772146225,0.728640191257,0.9844997467252737,4.381204683111554,0.4236653645833333,43.30909287184477,15.0,44.03674504905939,-0.7414920056859653,-0.7414920056859629,7.605485588513261e-05,0.0040144100414805095,0.003743489583333315
dinov2_b14,painting,ridge,second_moment_mmd,10,3,0.03506441662708918,0.07073156287272771,0.0721283033490181,0.9844661661813294,4.380380252828408,0.42919921875,48.59903837740421,15.0,48.66976994027694,-1.3984126200278602,3.891532885531589,4.2474311940821075e-05,0.003189979758333905,0.00927734375
dinov2_b14,painting,ridge,second_moment_mmd,25,3,0.03506441662708918,0.1193713794151942,0.11913828551769257,0.9844236918693886,4.377190273070074,0.43115234375,48.59903837740421,15.0,48.718409756819405,-1.3497728034853935,3.940172702074051,0.0,0.0,0.01123046875
dinov2_b14,painting,ridge,second_moment_mmd,50,3,0.03506441662708918,0.2006892835100492,0.2002575770020485,0.9844236918693886,4.377190273070074,0.43115234375,48.59903837740421,15.0,48.799727660914265,-1.2684548993905387,4.021490606168911,0.0,0.0,0.01123046875
dinov2_b14,painting,ridge,second_moment_mmd,100,3,0.03506441662708918,0.3588774378101031,0.35995491594076157,0.9844236918693886,4.377190273070074,0.419921875,48.59903837740421,15.0,48.957915815214314,-1.1102667450904846,4.17967876046896,0.0,0.0,0.0
dinov2_b14,painting,ridge,second_moment_mmd,227,3,0.03506441662708918,0.7626950914661089,0.7565709352493286,0.9844236918693886,4.377190273070074,0.419921875,48.59903837740421,15.0,49.36173346887032,-0.7064490914344789,4.583496414124966,0.0,0.0,0.0
dinov2_b14,painting,ridge,target_a,10,3,0.3618580251932144,0.4020327503482501,0.4016178026795387,0.9844661661813294,4.380380252828408,0.4375,48.59903837740421,15.0,49.00107112775246,-1.0671114325523376,4.222834073007107,4.2474311940821075e-05,0.003189979758333905,0.017578125
dinov2_b14,painting,ridge,target_a,25,3,0.3618580251932144,0.4507277309894562,0.45161810517311096,0.9844236918693886,4.377190273070074,0.43115234375,48.59903837740421,15.0,49.04976610839367,-1.0184164519111316,4.271529053648315,0.0,0.0,0.01123046875
dinov2_b14,painting,ridge,target_a,50,3,0.3618580251932144,0.529190793633461,0.5325473621487617,0.9844236918693886,4.377190273070074,0.43115234375,48.59903837740421,15.0,49.128229171037674,-0.9399533892671268,4.34999211629232,0.0,0.0,0.01123046875
dinov2_b14,painting,ridge,target_a,100,3,0.3618580251932144,0.6887063235044479,0.6928257271647453,0.9844236918693886,4.377190273070074,0.419921875,48.59903837740421,15.0,49.28774470090866,-0.7804378593961399,4.509507646163307,0.0,0.0,0.0
dinov2_b14,painting,ridge,target_a,227,3,0.3618580251932144,1.1000627055764198,1.1108001917600632,0.9844236918693886,4.377190273070074,0.419921875,48.59903837740421,15.0,49.69910108298063,-0.36908147732416796,4.920864028235279,0.0,0.0,0.0
dinov2_b14,quickdraw,logistic,exhaustive,455,3,0.00028738131125768024,38.44284197191397,38.4865825176239,0.965077416120221,4.1528406340114135,0.875,43.76177269220352,15.0,82.20461466411749,0.0,0.0,0.0,0.0,0.0
dinov2_b14,quickdraw,logistic,random,10,3,0.00047499189774195355,0.8188275272647539,0.8011434376239777,0.9693082249101787,4.212552820649446,0.88037109375,41.21314693739017,14.0,42.03197446465492,-37.62401444464922,-40.17264019946256,0.00423080878995763,0.05971218663803235,0.00537109375
dinov2_b14,quickdraw,logistic,random,25,3,0.00047499189774195355,2.027182422578335,1.995389886200428,0.9685994268825717,4.19238909091432,0.8831380208333334,43.76177269220352,15.0,45.78895511478186,-36.415659549335636,-36.41565954933563,0.0035220107623507024,0.03954845690290654,0.00813802083333337
