construction,readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
original,ridge,error_rate,random,50,6,12,0.6318522135416667,0.6102701822916666,0.6151529947916666,0.016699218749999998,0.017026774088541665,0.10958333333333335,0.0378662109375
original,ridge,error_rate,random,100,6,12,0.6257751464843749,0.6102701822916666,0.6151529947916666,0.010622151692708333,0.01029052734375,0.21541666666666667,0.0278564453125
original,ridge,error_rate,random,227,6,12,0.6201822916666667,0.6102701822916666,0.6151529947916666,0.0050292968749999995,0.004707845052083334,0.48374999999999996,0.0170654296875
original,ridge,error_rate,second_moment_mmd,10,6,12,0.6229248046875,0.6102701822916666,0.6151529947916666,0.007771809895833333,0.010579427083333334,0.19999999999999998,0.03759765625
original,ridge,error_rate,second_moment_mmd,25,6,12,0.6188557942708334,0.6102701822916666,0.6151529947916666,0.0037027994791666665,0.005330403645833333,0.4166666666666667,0.0205078125
original,ridge,error_rate,second_moment_mmd,50,6,12,0.6195068359375,0.6102701822916666,0.6151529947916666,0.004353841145833333,0.0030517578125,0.6166666666666667,0.0205078125
original,ridge,error_rate,second_moment_mmd,100,6,12,0.6167805989583334,0.6102701822916666,0.6151529947916666,0.0016276041666666667,0.0008544921875,0.8333333333333334,0.01611328125
original,ridge,error_rate,second_moment_mmd,227,6,12,0.6151529947916666,0.6102701822916666,0.6151529947916666,0.0,0.0,0.9583333333333334,0.0
original,ridge,error_rate,target_a,10,6,12,0.6202799479166666,0.6102701822916666,0.6151529947916666,0.005126953125,0.00830078125,0.18333333333333335,0.017578125
original,ridge,error_rate,target_a,25,6,12,0.6187337239583334,0.6102701822916666,0.6151529947916666,0.0035807291666666665,0.004964192708333333,0.3666666666666667,0.01806640625
original,ridge,error_rate,target_a,50,6,12,0.6182861328125,0.6102701822916666,0.6151529947916666,0.0031331380208333335,0.0033772786458333335,0.5166666666666666,0.01806640625
original,ridge,error_rate,target_a,100,6,12,0.6156005859375,0.6102701822916666,0.6151529947916666,0.0004475911458333333,0.0015869140625,0.75,0.01611328125
original,ridge,error_rate,target_a,227,6,12,0.6151529947916666,0.6102701822916666,0.6151529947916666,0.0,0.0,0.9583333333333334,0.0
original,ridge,nll,domain_moment,10,6,12,4.466254874392684,4.462408575233982,4.462854275247988,0.0034005991446951858,0.0036492056167468276,0.20833333333333334,0.017855501429362874
original,ridge,nll,domain_moment,25,6,12,4.465649719826371,4.462408575233982,4.462854275247988,0.002795444578381767,0.003059008914112926,0.36666666666666664,0.017855501429362874
original,ridge,nll,domain_moment,50,6,12,4.46377700352548,4.462408575233982,4.462854275247988,0.0009227282774915135,0.0010163280237813765,0.6250000000000001,0.006838896804233663
original,ridge,nll,domain_moment,100,6,12,4.4630729990223825,4.462408575233982,4.462854275247988,0.0002187237743943952,0.0004225853032509737,0.7833333333333333,0.0021723243779119272
original,ridge,nll,domain_moment,227,6,12,4.462854275247988,4.462408575233982,4.462854275247988,0.0,0.0,0.9916666666666667,0.0
original,ridge,nll,exhaustive,455,6,12,4.462854275247988,4.462408575233982,4.462854275247988,0.0,0.0,1.0,0.0
