construction,readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
original,ridge,error_rate,second_moment_mmd,227,0.005,0.0,0.0,6
original,ridge,error_rate,second_moment_mmd,227,0.01,0.0,0.0,6
original,ridge,error_rate,second_moment_mmd,227,0.02,0.0,0.0,6
original,ridge,error_rate,target_a,10,0.005,0.4166666666666667,1.0,6
original,ridge,error_rate,target_a,10,0.01,0.25,0.5,6
original,ridge,error_rate,target_a,10,0.02,0.0,0.0,6
original,ridge,error_rate,target_a,25,0.005,0.3333333333333333,1.0,6
original,ridge,error_rate,target_a,25,0.01,0.25,0.5,6
original,ridge,error_rate,target_a,25,0.02,0.0,0.0,6
original,ridge,error_rate,target_a,50,0.005,0.25,0.5,6
original,ridge,error_rate,target_a,50,0.01,0.25,0.5,6
original,ridge,error_rate,target_a,50,0.02,0.0,0.0,6
original,ridge,error_rate,target_a,100,0.005,0.08333333333333333,0.5,6
original,ridge,error_rate,target_a,100,0.01,0.08333333333333333,0.5,6
original,ridge,error_rate,target_a,100,0.02,0.0,0.0,6
original,ridge,error_rate,target_a,227,0.005,0.0,0.0,6
original,ridge,error_rate,target_a,227,0.01,0.0,0.0,6
original,ridge,error_rate,target_a,227,0.02,0.0,0.0,6
original,ridge,nll,domain_moment,10,0.01,0.08333333333333333,0.5,6
original,ridge,nll,domain_moment,10,0.05,0.0,0.0,6
original,ridge,nll,domain_moment,10,0.1,0.0,0.0,6
original,ridge,nll,domain_moment,25,0.01,0.08333333333333333,0.5,6
original,ridge,nll,domain_moment,25,0.05,0.0,0.0,6
original,ridge,nll,domain_moment,25,0.1,0.0,0.0,6
original,ridge,nll,domain_moment,50,0.01,0.0,0.0,6
original,ridge,nll,domain_moment,50,0.05,0.0,0.0,6
original,ridge,nll,domain_moment,50,0.1,0.0,0.0,6
original,ridge,nll,domain_moment,100,0.01,0.0,0.0,6
original,ridge,nll,domain_moment,100,0.05,0.0,0.0,6
original,ridge,nll,domain_moment,100,0.1,0.0,0.0,6
original,ridge,nll,domain_moment,227,0.01,0.0,0.0,6
