encoder,target_domain,metric,combination,empirical_loss,empirical_rank,bootstrap_top_q_frequency
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_middle|sketch__clip_pc1_middle,0.9882155573463585,172,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|sketch__clip_pc1_high|sketch__clip_pc1_low,0.988212386504641,171,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|sketch__clip_pc1_high|sketch__clip_pc1_middle,0.9884967425987046,322,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|sketch__clip_pc1_low|sketch__clip_pc1_middle,0.9880831109295036,107,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|painting__clip_pc1_low,0.9884528477183641,301,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|painting__clip_pc1_middle,0.9884257433202499,290,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|quickdraw__clip_pc1_high,0.9886537927608997,401,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|quickdraw__clip_pc1_low,0.9885342613681909,343,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|quickdraw__clip_pc1_middle,0.9885955517719336,376,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|real__clip_pc1_high,0.988374634357946,256,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|real__clip_pc1_low,0.9880134139001088,75,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|real__clip_pc1_middle,0.9882566987128567,195,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|sketch__clip_pc1_high,0.988502166352326,327,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|sketch__clip_pc1_low,0.9881146276686346,126,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_high|sketch__clip_pc1_middle,0.988335126301614,235,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|painting__clip_pc1_middle,0.9883959832278393,266,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|quickdraw__clip_pc1_high,0.988630209494007,390,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|quickdraw__clip_pc1_low,0.9885208279660802,337,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|quickdraw__clip_pc1_middle,0.9885812281744675,368,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|real__clip_pc1_high,0.9882691982741441,202,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|real__clip_pc1_low,0.9880245144326818,79,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|real__clip_pc1_middle,0.9882285741343184,182,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|sketch__clip_pc1_high,0.9884612503202324,308,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|sketch__clip_pc1_low,0.9881167535331405,130,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_low|sketch__clip_pc1_middle,0.9883183987661863,224,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|quickdraw__clip_pc1_high,0.9885368673308571,346,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|quickdraw__clip_pc1_low,0.9884225695914555,284,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|quickdraw__clip_pc1_middle,0.9884890851005299,319,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|real__clip_pc1_high,0.9882736506755683,204,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|real__clip_pc1_low,0.9879374397387528,46,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|real__clip_pc1_middle,0.9881828372297848,155,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|sketch__clip_pc1_high,0.9884075588622208,272,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|sketch__clip_pc1_low,0.9880576441984056,94,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|painting__clip_pc1_middle|sketch__clip_pc1_middle,0.9882574352399079,196,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|quickdraw__clip_pc1_high|quickdraw__clip_pc1_low,0.9887453991725755,425,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_middle|quickdraw__clip_pc1_high|quickdraw__clip_pc1_middle,0.9888222079178267,438,0.0
