target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
sketch,bayesian_d,100,0.7802197802197802,0.65,5.131339991318337e-05,2.303222037937908e-05,0.6808306983996759
sketch,bayesian_d,227,0.5010989010989011,1.0,5.268301638115813e-05,0.0,0.6808306983996759
sketch,domain_balance,10,0.978021978021978,0.0,0.0003656894842514638,0.00035100762500143843,0.164875867235014
sketch,domain_balance,25,0.945054945054945,0.0,0.0003656894842514638,0.00035100762500143843,0.164875867235014
sketch,domain_balance,50,0.8901098901098901,0.0,0.00027081151842761906,0.0002646229044880742,0.164875867235014
sketch,domain_balance,100,0.7802197802197802,0.25,9.014472878755954e-05,8.354810759187917e-05,0.164875867235014
sketch,domain_balance,227,0.5010989010989011,0.25,9.014472878755954e-05,8.354810759187917e-05,0.164875867235014
sketch,dpp_subspace,10,0.978021978021978,0.0,0.0007752703827822057,0.0007752703827822057,-0.039683056336198
sketch,dpp_subspace,25,0.945054945054945,0.0,0.0006247238775370024,0.0005920477140408996,-0.039683056336198
sketch,dpp_subspace,50,0.8901098901098901,0.0,0.0004946704112247744,0.0004946704112247744,-0.039683056336198
sketch,dpp_subspace,100,0.7802197802197802,0.0,0.0003289246355196988,0.0003289246355196988,-0.039683056336198
sketch,dpp_subspace,227,0.5010989010989011,0.25,8.323528281200278e-05,8.323528281200278e-05,-0.039683056336198
sketch,merged_effective_rank,10,0.978021978021978,0.1,0.00027378061149451133,0.00027378061149451133,0.676037433468456
sketch,merged_effective_rank,25,0.945054945054945,0.3,0.00019691781517511,0.00019691781517511,0.676037433468456
sketch,merged_effective_rank,50,0.8901098901098901,0.35,7.66386616163224e-05,7.66386616163224e-05,0.676037433468456
sketch,merged_effective_rank,100,0.7802197802197802,0.65,5.131339991318337e-05,2.303222037937908e-05,0.676037433468456
sketch,merged_effective_rank,227,0.5010989010989011,1.0,5.268301638115813e-05,0.0,0.676037433468456
sketch,random,10,0.9780219780219779,0.03,0.0002889823798154693,0.00028709283140397927,-0.00523186991538487
sketch,random,25,0.945054945054945,0.060000000000000005,0.0002008458921816126,0.0001982142197185926,-0.00523186991538487
sketch,random,50,0.8901098901098902,0.11000000000000001,0.00014165254525849784,0.00013791223654547826,-0.00523186991538487
sketch,random,100,0.7802197802197803,0.255,7.405099245013673e-05,6.0018480884614376e-05,-0.00523186991538487
sketch,random,227,0.5010989010989011,0.5,4.952199275001575e-05,1.8930130560003245e-05,-0.00523186991538487
sketch,second_moment_mmd,10,0.978021978021978,0.25,4.177610971085448e-05,0.0,0.6632782184196513
sketch,second_moment_mmd,25,0.945054945054945,0.4,4.571556860731622e-05,0.0,0.6632782184196513
sketch,second_moment_mmd,50,0.8901098901098901,0.65,5.268301638115813e-05,0.0,0.6632782184196513
sketch,second_moment_mmd,100,0.7802197802197802,0.8,5.268301638115813e-05,0.0,0.6632782184196513
sketch,second_moment_mmd,227,0.5010989010989011,0.95,5.268301638115813e-05,0.0,0.6632782184196513
sketch,target_a,10,0.978021978021978,0.25,7.66386616163224e-05,7.66386616163224e-05,0.7882191712762081
sketch,target_a,25,0.945054945054945,0.44999999999999996,8.323528281200278e-05,7.406881918783543e-05,0.7882191712762081
sketch,target_a,50,0.8901098901098901,0.8,5.268301638115813e-05,0.0,0.7882191712762081
sketch,target_a,100,0.7802197802197802,0.95,5.268301638115813e-05,0.0,0.7882191712762081
sketch,target_a,227,0.5010989010989011,1.0,5.268301638115813e-05,0.0,0.7882191712762081
sketch,target_energy,10,0.978021978021978,0.0,0.0011795119852455694,0.0011795119852455694,-0.5277231115742593
sketch,target_energy,25,0.945054945054945,0.0,0.0009839056762760434,0.0009752049349283896,-0.5277231115742593
sketch,target_energy,50,0.8901098901098901,0.0,0.0005541874701373202,0.0005541874701373202,-0.5277231115742593
sketch,target_energy,100,0.7802197802197802,0.0,0.0004918114890813512,0.0004653898015675131,-0.5277231115742593
sketch,target_energy,227,0.5010989010989011,0.0,0.0003289246355196988,0.00030832442023919865,-0.5277231115742593
