encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,fashion_mnist,digits_characters,4,gtsrb,0.66959999730587,0.013112766156651396,0.6725664139|0.6925373077|0.6533466578|0.6670019627|0.6622583866,5000,stratified_5_fold,5,20260906,0.5655999183654785,500,600,256,128,0.01,1.158851670101285,0.047929370775818825,npu:6
resnet50,fashion_mnist,digits_characters,4,oxford_pets,0.9048913006711266,0.009362429832615739,0.9025709629|0.9076087475|0.8885869980|0.9088435769|0.9168936610,3680,stratified_5_fold,5,20260906,0.8917961120605469,500,600,256,128,0.01,1.158851670101285,0.04635927267372608,npu:6
resnet50,mnist,digits_characters,0,beans,0.8471953814679926,0.029604256170025253,0.8461539149|0.8067632914|0.8502415419|0.8980582952|0.8349514604,1034,stratified_5_fold,5,20260906,0.8359375,500,600,256,128,0.01,1.199606392532587,0.04470554552972317,npu:6
resnet50,mnist,digits_characters,0,dtd,0.614893627166748,0.00964805574018279,0.6289893389|0.6103723049|0.5997340679|0.6170213223|0.6183511019,3760,stratified_5_fold,5,20260906,0.6148935556411743,500,600,256,128,0.01,1.199606392532587,0.06152091361582279,npu:6
resnet50,mnist,digits_characters,0,eurosat,0.8971999882936478,0.007135367584090535,0.9015903473|0.9051896334|0.9019019604|0.8876630068|0.8895581961,5000,stratified_5_fold,5,20260906,0.9062963128089905,500,600,256,128,0.01,1.199606392532587,0.04146594554185867,npu:6
resnet50,mnist,digits_characters,0,flowers102,0.6607843637466431,0.03429972520619522,0.6225490570|0.7107843757|0.6911765337|0.6470588446|0.6323530078,1020,stratified_5_fold,5,20260906,0.6675999760627747,500,600,256,128,0.01,1.199606392532587,0.0441884770989418,npu:6
resnet50,mnist,digits_characters,0,food101,0.4008000187277794,0.011727614691075187,0.3940594196|0.4227722883|0.3910891116|0.3930693269|0.4031250477,5000,stratified_5_fold,5,20260906,0.4453999698162079,500,600,256,128,0.01,1.199606392532587,0.04711594618856907,npu:6
resnet50,mnist,digits_characters,0,gtsrb,0.6789999942064285,0.007497173313023237,0.6843658090|0.6746268272|0.6883116961|0.6670019627|0.6805697083,5000,stratified_5_fold,5,20260906,0.5777999758720398,500,600,256,128,0.01,1.199606392532587,0.04587910138070583,npu:6
resnet50,mnist,digits_characters,0,oxford_pets,0.9078804254045952,0.005958991824926022,0.9066305161|0.9184782505|0.9048913121|0.9088435769|0.9005449414,3680,stratified_5_fold,5,20260906,0.8849822282791138,500,600,256,128,0.01,1.199606392532587,0.04424607567489147,npu:6
resnet50,mnist,digits_characters,1,beans,0.8617021542337923,0.02030953806642784,0.8557692766|0.8695652485|0.8743961453|0.8834951520|0.8252427578,1034,stratified_5_fold,5,20260906,0.859375,500,600,256,128,0.01,1.1895769108086824,0.03831210732460022,npu:6
resnet50,mnist,digits_characters,1,dtd,0.6098404645919799,0.015770178378171622,0.6236702204|0.5930851698|0.5957447290|0.6329787970|0.6037234068,3760,stratified_5_fold,5,20260906,0.6308510303497314,500,600,256,128,0.01,1.1895769108086824,0.04039771296083927,npu:6
resnet50,mnist,digits_characters,1,eurosat,0.8947999840021134,0.005136937034124078,0.9045724869|0.8932135701|0.8898899555|0.8916749954|0.8945782781,5000,stratified_5_fold,5,20260906,0.9025925993919373,500,600,256,128,0.01,1.1895769108086824,0.041137536987662315,npu:6
resnet50,mnist,digits_characters,1,flowers102,0.6705882906913757,0.019460245825322815,0.6470588446|0.7058824301|0.6666667461|0.6715686917|0.6617647409,1020,stratified_5_fold,5,20260906,0.6686000227928162,500,600,256,128,0.01,1.1895769108086824,0.0430191308259964,npu:6
resnet50,mnist,digits_characters,1,food101,0.4000000211596489,0.010026971377486605,0.3881188333|0.4168317020|0.4029703140|0.4000000060|0.3916667104,5000,stratified_5_fold,5,20260906,0.4423999786376953,500,600,256,128,0.01,1.1895769108086824,0.04490750655531883,npu:6
resnet50,mnist,digits_characters,1,gtsrb,0.6751999998569489,0.01585081325903823,0.6784660816|0.6716417670|0.6483516693|0.6971830726|0.6805697083,5000,stratified_5_fold,5,20260906,0.5773999691009521,500,600,256,128,0.01,1.1895769108086824,0.0451068002730608,npu:6
resnet50,mnist,digits_characters,1,oxford_pets,0.9086956606287023,0.014403097210415284,0.9039241076|0.9076087475|0.8885869980|0.9333333969|0.9100817442,3680,stratified_5_fold,5,20260906,0.8860725164413452,500,600,256,128,0.01,1.1895769108086824,0.04349120333790779,npu:6
resnet50,mnist,digits_characters,2,beans,0.8491296196352813,0.008222424243321954,0.8413462639|0.8454105854|0.8647342920|0.8446602225|0.8495146036,1034,stratified_5_fold,5,20260906,0.8515625,500,600,256,128,0.01,1.1737044882029295,0.03910967893898487,npu:6
