alpha_target,gamma_target,repeat,alpha_actual,gamma_actual,r_eff_A,r_eff_B,r_eff_dominant,r_eff_subordinate,r_eff_merged,r_eff_ideal,collapse_ratio,delta_r,is_superadditive,nuclear_A,nuclear_B,q,r_pred_theory,pred_error,dominant_cause
0.0,2.0,0,7.698942104627745e-31,2.0000000000000004,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,69.53419188346506,73.58576622904738,0.05505921257884515,32.741308768941366,True,31.62277660168379,63.245553203367585,0.6666666666666667,69.53419188346506,0.0,superadditive
0.0,2.0,1,1.1646928925453565e-30,2.0000000000000013,36.792883114523676,36.792883114523654,36.792883114523654,36.792883114523676,69.53419188346506,73.58576622904732,0.05505921257884442,32.7413087689414,True,31.622776601683785,63.24555320336761,0.6666666666666669,69.53419188346498,7.105427357601002e-14,superadditive
0.0,2.0,2,7.358538997391765e-31,2.0,36.792883114523676,36.792883114523676,36.792883114523676,36.792883114523676,69.53419188346506,73.58576622904735,0.05505921257884479,32.74130876894138,True,31.62277660168379,63.24555320336758,0.6666666666666666,69.53419188346498,7.105427357601002e-14,superadditive
0.0,2.0,3,8.484362169126992e-31,2.0000000000000004,36.79288311452369,36.792883114523654,36.792883114523654,36.79288311452369,69.53419188346511,73.58576622904735,0.05505921257884401,32.74130876894146,True,31.62277660168379,63.24555320336759,0.6666666666666667,69.53419188346498,1.2789769243681803e-13,superadditive
0.0,2.0,4,8.75223388993431e-31,2.0,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,69.53419188346498,73.58576622904738,0.05505921257884611,32.741308768941295,True,31.622776601683796,63.24555320336759,0.6666666666666666,69.53419188346506,7.105427357601002e-14,superadditive
0.0,3.0,0,9.597853017129584e-31,2.9999999999999987,36.792883114523676,36.79288311452369,36.79288311452369,36.792883114523676,64.56287643816421,73.58576622904737,0.12261732469833882,27.76999332364052,True,31.622776601683796,94.86832980505135,0.7499999999999999,64.56287643816427,5.684341886080802e-14,superadditive
0.0,3.0,1,7.911259397553433e-31,2.9999999999999987,36.792883114523654,36.79288311452369,36.79288311452369,36.792883114523654,64.56287643816427,73.58576622904735,0.12261732469833787,27.769993323640577,True,31.622776601683807,94.86832980505137,0.7499999999999999,64.56287643816427,0.0,superadditive
0.0,3.0,2,8.12583760461188e-31,2.999999999999999,36.792883114523676,36.792883114523704,36.792883114523704,36.792883114523676,64.56287643816421,73.58576622904738,0.12261732469833898,27.769993323640506,True,31.62277660168379,94.86832980505135,0.7499999999999999,64.56287643816427,5.684341886080802e-14,superadditive
0.0,3.0,3,8.26917072495935e-31,2.9999999999999996,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,64.56287643816421,73.58576622904738,0.12261732469833898,27.76999332364052,True,31.622776601683796,94.86832980505137,0.75,64.56287643816427,5.684341886080802e-14,superadditive
0.0,3.0,4,8.505908766646774e-31,3.0000000000000004,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,64.56287643816427,73.58576622904738,0.1226173246983382,27.769993323640577,True,31.62277660168379,94.86832980505137,0.7500000000000001,64.56287643816421,5.684341886080802e-14,energy
0.0,10.0,0,7.871364766980628e-31,10.000000000000002,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.89598458065493,73.58576622904738,0.32193429330686374,13.103101466131243,True,31.622776601683796,316.227766016838,0.9090909090909091,49.895984580654954,2.1316282072803006e-14,energy
0.0,10.0,1,7.96583778742285e-31,10.0,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.89598458065491,73.58576622904738,0.321934293306864,13.103101466131221,True,31.622776601683793,316.2277660168379,0.9090909090909091,49.895984580654954,4.263256414560601e-14,energy
0.0,10.0,2,9.508356410117028e-31,9.999999999999998,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,49.89598458065491,73.58576622904738,0.321934293306864,13.103101466131221,True,31.62277660168379,316.22776601683785,0.9090909090909091,49.895984580654954,4.263256414560601e-14,energy
