scope,method,shortlist_size,rows,encoder_target_exclusion_units,encoders,targets,excluded_sources,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
exclude_tiny_imagenet,dpp_subspace,10,28,28,4,7,1,0.8214285714285714,0.7380952380952381,0.000723987962256387,0.028533832425001217,-0.000893173047474454,0.5,0.8214285714285714,0.8214285714285714,8.5,0.46875,False
exclude_tiny_imagenet,facility_subspace,10,28,28,4,7,1,0.8214285714285714,0.6547619047619048,0.00016381219271583265,0.009028148432680164,0.001155241046633036,0.5,0.8928571428571429,0.8214285714285714,10.0,0.375,False
exclude_tiny_imagenet,kcenter_subspace,10,28,28,4,7,1,0.42857142857142855,0.47619047619047616,0.001708393112623651,0.06729168431775802,0.0021623500755854996,0.5,0.8571428571428571,0.7678571428571429,10.0,0.375,False
exclude_tiny_imagenet,pool_vendi_subspace,10,28,28,4,7,1,0.32142857142857145,0.4642857142857143,0.002379541930407819,0.08686170639123034,0.003457064713750566,0.5,0.7142857142857143,0.7083333333333333,9.75,0.390625,False
exclude_tiny_imagenet,random,10,2800,28,4,7,1,0.505,0.505595238095238,0.001988235409182727,0.06919074933976348,0.0022510174576725276,0.5,0.6492857142857142,0.6425,8.908214285714285,0.4432366071428571,False
exclude_tiny_imagenet,rank_only,10,28,28,4,7,1,0.8214285714285714,0.75,0.0007101718654104591,0.027014062239009866,-0.0005583516189030246,0.5,0.8214285714285714,0.7678571428571429,7.25,0.546875,False
exclude_tissuemnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.7976190476190476,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8273809523809524,8.5,0.46875,False
exclude_tissuemnist,facility_subspace,10,28,28,4,7,1,0.2857142857142857,0.5357142857142857,0.0024530969679997772,0.08347703167212502,0.002946436405181881,0.5,0.32142857142857145,0.6071428571428571,10.0,0.375,False
exclude_tissuemnist,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.033323416688850624,0.002098673156329562,0.5,0.6428571428571429,0.5892857142857143,9.75,0.390625,False
exclude_tissuemnist,pool_vendi_subspace,10,28,28,4,7,1,0.75,0.5714285714285714,0.0004192610602302257,0.017536031353400743,0.0011126548051834126,0.5,0.7857142857142857,0.6011904761904762,9.75,0.390625,False
exclude_tissuemnist,random,10,2800,28,4,7,1,0.4942857142857143,0.5004761904761904,0.002411983778140299,0.08155414790584561,0.0021277372411319193,0.5,0.5339285714285714,0.5985714285714285,8.908214285714285,0.4432366071428571,False
exclude_tissuemnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.7976190476190476,0.0006421885572030375,0.02462868038055781,-0.0004654424531119234,0.5,0.8571428571428571,0.8035714285714286,7.25,0.546875,False
