excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
resnet50,dpp_subspace,3,21,3,21,0.6190476190476191,0.492063492063492,0.0008366910427015544,0.040586138669678876,0.8571428571428571,0.001447338717324392,0.6190476190476191,0.5793650793650793,3.0,0.8235294117647058,0,False
resnet50,exact_merged_rank_greedy,3,21,3,21,0.6666666666666666,0.5396825396825397,0.0008055676921645443,0.03567696533358678,0.8571428571428571,0.0014378138950892824,0.6666666666666666,0.626984126984127,3.0,0.8235294117647058,0,False
resnet50,facility_subspace,3,21,3,21,0.047619047619047616,0.09523809523809523,0.0062729433992460455,0.20832643110963942,0.8571428571428571,0.007846923385347638,0.42857142857142855,0.4126984126984127,3.0,0.8235294117647058,0,False
resnet50,kcenter_subspace,3,21,3,21,0.42857142857142855,0.2698412698412698,0.0030797874915127568,0.10928214123369116,0.8571428571428571,0.003381511143275673,0.42857142857142855,0.30158730158730157,3.0,0.8235294117647058,0,False
resnet50,leverage_centroid,3,21,3,21,0.19047619047619047,0.25396825396825395,0.003706893398940068,0.14712008273660668,0.8571428571428571,0.0016869516599746013,0.19047619047619047,0.2619047619047619,3.0,0.8235294117647058,0,False
resnet50,pool_vendi_subspace,3,21,3,21,0.42857142857142855,0.2698412698412698,0.0030797874915127568,0.10928214123369116,0.8571428571428571,0.003381511143275673,0.42857142857142855,0.30158730158730157,3.0,0.8235294117647058,0,False
resnet50,rank_l_gram,3,21,3,21,0.6666666666666666,0.6190476190476191,0.0008055676921645443,0.03567696533358678,0.8571428571428571,0.0014378138950892824,0.6666666666666666,0.626984126984127,3.0,0.8235294117647058,0,False
resnet50,rank_only,3,21,3,21,0.5714285714285714,0.5079365079365079,0.0008858145586660347,0.041915817058989696,0.8571428571428571,0.003009838717324393,0.5714285714285714,0.5158730158730158,2.3333333333333335,0.8627450980392156,0,False
resnet50,agglomerative_subspace,5,21,3,21,0.047619047619047616,0.09523809523809523,0.0057385726390592265,0.1999579233406906,0.7619047619047619,0.0049729074750627855,0.3333333333333333,0.373015873015873,5.0,0.7058823529411764,0,False
resnet50,dpp_subspace,5,21,3,21,0.8095238095238095,0.7142857142857143,0.0002630069853410543,0.019204923065419138,0.7619047619047619,0.0008113713491530687,0.8571428571428571,0.7380952380952381,4.666666666666667,0.7254901960784313,0,False
resnet50,exact_merged_rank_greedy,5,21,3,21,0.8095238095238095,0.7142857142857143,0.0002630069853410543,0.019204923065419138,0.7619047619047619,0.0008113713491530687,0.8095238095238095,0.7222222222222222,4.0,0.7647058823529411,0,False
resnet50,facility_subspace,5,21,3,21,0.14285714285714285,0.1746031746031746,0.004913908239704089,0.1599762227684114,0.7619047619047619,0.003938400177728563,0.5238095238095238,0.492063492063492,5.0,0.7058823529411764,0,False
resnet50,kcenter_subspace,5,21,3,21,0.5714285714285714,0.42857142857142855,0.0022816436167890112,0.07995053058790628,0.7619047619047619,0.0019104412623814164,0.6190476190476191,0.4841269841269841,5.0,0.7058823529411764,0,False
resnet50,leverage_centroid,5,21,3,21,0.19047619047619047,0.2698412698412698,0.0032737603982966536,0.12808155600656188,0.7619047619047619,0.002022102900913787,0.19047619047619047,0.2777777777777778,5.0,0.7058823529411764,0,False
resnet50,pool_vendi_subspace,5,21,3,21,0.5714285714285714,0.4126984126984127,0.0022816436167890112,0.07995053058790628,0.7619047619047619,0.0019104412623814164,0.6190476190476191,0.4841269841269841,5.0,0.7058823529411764,0,False
resnet50,rank_l_gram,5,21,3,21,0.6666666666666666,0.6507936507936508,0.0007380229205278413,0.03073536395330879,0.7619047619047619,0.0006193615141369005,0.8571428571428571,0.7698412698412699,5.0,0.7058823529411764,0,False
resnet50,rank_only,5,21,3,21,0.8095238095238095,0.7142857142857143,0.0002630069853410543,0.019204923065419138,0.7619047619047619,0.0008113713491530687,0.8095238095238095,0.7222222222222222,4.0,0.7647058823529411,0,False
