encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,shortlist_jaccard,dpp_minus_rank_test_regret,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
vit_b16,eurosat,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,flowers102,3,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,1.0,1.0,0.0
vit_b16,flowers102,5,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,flowers102,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,food101,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.5,0.0,1.0,1.0,0.0
vit_b16,food101,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,gtsrb,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
vit_b16,gtsrb,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,oxford_pets,3,organmnist_views,0.0,0.0,0.0010144912915818205,0.0010144912915818205,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
vit_b16,oxford_pets,5,organmnist_views,0.0,0.0,0.0010144912915818205,0.0010144912915818205,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,1.0
vit_b16,oxford_pets,10,organmnist_views,0.0,1.0,0.0010144912915818205,0.0,-1.0,-0.33333333333333337,0.0010144912915818205,0.06278021375776013,0.6666666666666666,-0.000981187820434548,1.0,1.0,0.0
