readout,method,metric,shortlist_size,projection_seeds,requested_projection_seeds,target_domain_count,repeated_task_count,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
logistic,second_moment_mmd,error_rate,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.9791666666666666,6,0.6329243977864584,6,0.6259053548177084,6,0.00701904296875,6,0.012650018983667263,6,0.047546628867662255,6,0.0,6,0.5637069335057727,6
logistic,second_moment_mmd,nll,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.25,6,3.442722486331674,6,3.4074871295253217,6,0.035235356806352126,6,0.010028999423578842,6,0.014878568190598832,6,0.029995201732992065,6,0.7108004272248954,6
logistic,second_moment_mmd,nll,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.4645833333333333,6,3.423191554348799,6,3.4074871295253217,6,0.015704424823476937,6,0.004318499744685368,6,0.006650953488058415,6,0.010540704975667892,6,0.7108004272248954,6
logistic,second_moment_mmd,nll,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.6979166666666666,6,3.415027992729358,6,3.4074871295253217,6,0.007540863204036584,6,0.00210387649380506,6,0.0031041634463494366,6,0.003975520901699374,6,0.7108004272248954,6
logistic,second_moment_mmd,nll,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.9104166666666665,6,3.413040210126502,6,3.4074871295253217,6,0.005553080601180177,6,0.0016409690769763282,6,0.002158269352396642,6,0.0,6,0.7108004272248954,6
logistic,second_moment_mmd,nll,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.9979166666666667,6,3.412983666380182,6,3.4074871295253217,6,0.005496536854859735,6,0.0016248120463906923,6,0.0021347586805838432,6,0.0,6,0.7108004272248954,6
logistic,target_a,brier_score,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.24583333333333332,6,0.8680082047321411,6,0.8632587029736835,6,0.004749501758457585,6,0.005536970559225012,6,0.0679600536807705,6,0.004372807797634294,6,0.14652094607592522,6
logistic,target_a,brier_score,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.46249999999999997,6,0.8658514682151957,6,0.8632587029736835,6,0.002592765241512041,6,0.0030759044373433824,6,0.038130099959093555,6,0.0021658536159549374,6,0.14652094607592522,6
logistic,target_a,brier_score,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.65625,6,0.8645111114255669,6,0.8632587029736835,6,0.0012524084518833814,6,0.0014564583754772488,6,0.022599128482766573,6,0.0003757768251094103,6,0.14652094607592522,6
logistic,target_a,brier_score,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.8708333333333335,6,0.86425707317491,6,0.8632587029736835,6,0.000998370201226328,6,0.001201997531592398,6,0.009786108189067987,6,6.884308335769936e-05,6,0.14652094607592522,6
